Código,Dia,Responsável,Localização área,Número,Sem placa,Nome,Gênero,placa antiga,espécie,n arvore,Altura Geral,Altura da 1a ramificação,Observacao,Largura calçada,Ramificacao U,Ramificacao V,Diâmetro copa,PAP5,PAP4,PAP3,PAP2,PAP,PCOLO,Inclinação (sentido),Canteiro Tipo,Canteiro Largura,Canterio comprimento,Canteiro Diâmetro,Canterio Vege Interferente,Canteiro Protetor tutor,Ângulo de inclinação,Est geral ótimo,Est geral bom,Est geral regular,Est geral péssimo,Est geral morta,Equil geral Desequilibrada,Onde desequilibra?,Qual sentido desequilibra?,Risco de queda,Corpo de frutificação,Intensidade,Vandalismo,Ecologia Insetos,Ecologia Ninhos,Ecologia Liquens,Ecologia Epífitas,Ecologia Parasitas,Fenologia Folha,Fenologia Flor,Fenologia Fruto,Local geral,Local relativo,Tipo de pavimento,Proximidade de equipamentos,Aflor de raízes Calçada,Aflor de raízes Canteiro,Aflor de raízes Construção,Aflor de raízes Leito carroçável,Aflor de raízes Passagem,int_leve,int_pesado,Particip na paisagem é Isolada,Particip na paisagem é Homogênea,Tipo de fiação Derivação,Tipo de fiação Primária,Tipo de fiação Secundária,Tipo de fiação Telefônia,Tipo de fiação Outra,Tipo de fiação todas,Colo pavimentado?,Manilha no canteiro?,Planta no canteiro?,Contato Fiação,Contato Posteamento,Contato Iluminação,Contato Sinalização,Contato Muro Construção,Contato Outro,Dano,Exec Reparos de danos,Exec Controle,Exec Substituição,Exec Ampliação de canteiro,Exec Poda,Qualidade da Ação,Recomend Poda corretiva,Recomend Poda condução,Recomend Poda levantamento,Recomend Poda limpeza,Recomend Reparos de danos,Recomend Ampliação de canteiro,Outra recomendação1,Outra recomendação2,Outra recomendação3,Baixa das recomendações,Fotografia Geral1,Fotografia Geral2,Fotografia Detalhe1,Fotografia Detalhe2,Ficha do recadastro,Radicular Interferências1,Radicular Interferências2,Radicular Interferências3,Radicular Diagnóstico1,Radicular Diagnóstico2,Radicular Diagnóstico3,Radicular cupim tipo,Radicular visualização cupim,Radicular cupim Ataque,Radicular cupim Atividade,Rad Cupim Coleta,Radicular sanidade outros,Rad fungo tipo,Rad fungo int ataque,Colo Diagnóstico1,Colo Diagnóstico2,Colo Diagnóstico3,Colo Cupim tipo,Colo Cupim visualização,Colo Cupim Ataque,Colo Cupim Atividade,Colo Cupim Coleta,Colo sanidade outros,Colo fungo tipo,Colo fungo int ataque,Tronco Interferências1,Tronco Interferências2,Tronco Interferências3,Tronco Diagnóstico1,Tronco Diagnóstico2,Tronco Diagnóstico3,Tronco Cupim tipo,Tronco visualização Cupim,Tronco Cupim Ataque,Tronco Cupim Atividade,Tronco Cupim Coleta,Tronco fungo tipo,Tronco fungo int ataque,Tronco sanidade outros,Copa Interferências1,Copa Interferências2,Copa Interferências3,Copa Diagnóstico1,Copa Diagnóstico2,Copa Diagnóstico3,1a Ram Cupim tipo,1a Ram visualização Cupim,1a Ram Cupim Ataque,1a Ram Cupim Atividade,1a Ram Cupim Coleta,1a Ram fungo tipo,1a Ram fungo int ataque,1a Ram sanidade outros,UTMX,UTMY,Latitude,Longitude
5412,2/5/2014,Demóstenes Ferreira da Silva Filho,Estrada das Sibipirunas,,,Jaboticaba sabará,Myrciaria cauliflora,,,2293,"3,5","0,3000000119",,,TRUE,FALSE,6,0,0,"0,5299999714","0,2899999917","0,3700000048","0,8000000119",,,,,,FALSE,,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,,,FALSE,0770,,0771,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,15,4,1,,,,,FALSE,,,,"229238,1428","7486173,26","-22,71003364","-47,63580022"
5413,2/5/2014,Demóstenes Ferreira da Silva Filho,Estrada das Sibipirunas,,,Jaboticaba sabará,Myrciaria cauliflora,,,2299,4,"0,400000006",,,TRUE,FALSE,6,0,0,"0,3100000024","0,2300000042","0,1899999976","1,139999986",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Área aberta,NDA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,,,FALSE,0767,,0768,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,4,1,1,,,,,FALSE,,,,"229243,2911","7486174,372","-22,71002443","-47,63574995"
5414,2/5/2014,Demóstenes Ferreira da Silva Filho,Estrada das Sibipirunas,,,Jaboticaba sabará,Myrciaria cauliflora,,,2300,5,"0,2800000012",,,TRUE,FALSE,7,0,0,"0,6399999857","0,2599999905","0,4300000072","1,200000048",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Área aberta,NDA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,,,FALSE,0765,,0766,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,4,1,1,,,,,FALSE,,,,"229242,194","7486170,3","-22,71006101","-47,63576133"
5415,12/17/2013,Flávio Henrique Mendes,Serviço Odontológico/ASCAMPUS,,,Palmeira leque,Livistona sp,,,1523,9,0,,,FALSE,FALSE,"3,5",0,0,0,0,"0,7599999905","1,200000048",,,,,,FALSE,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Calçada,Centrada,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,8311,,8312,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,"229553,8831","7486959,818","-22,7029862","-47,63259327"
5416,12/12/2013,Demóstenes Ferreira da Silva Filho,LSO/LPV/LCF,,,Saguaragi,Rhamnidium elaeocarpum,,,974,7,3,,,FALSE,FALSE,5,0,0,0,0,"0,2599999905","0,4199999869",4,,,,,FALSE,,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Copa,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Calçada,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Atual,Ausente,Ausente,Potencial,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,,FALSE,7875,,7876,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,6,3,1,1,1,1,,,,,FALSE,,,,"229683,7687","7486411,977","-22,70795083","-47,63142449"
104,12/11/2013,Flávio Henrique Mendes,LSO/LPV/LCF,,,Ipê branco,Tabebuia roseo alba,,,980,5,"1,5",,,FALSE,TRUE,2,0,0,0,0,"0,2800000012","0,349999994",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE,7891,,7892,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,229680,7486404,"-22,70802221","-47,63146252"
2534,1/22/2014,Demóstenes Ferreira da Silva Filho,Genética,,,Palmeira Imperial,Roystonea oleracea,,,2213,27,0,"alto risco de queda de folhas em pedestres, carros e fiacao.",,FALSE,FALSE,"4,5",0,0,0,0,"2,339999914","2,700000048",,,,,,FALSE,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Atual,Ausente,Ausente,Ausente,Atual,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9287,,9288,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,13,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,229456,7486298,"-22,70894289","-47,63365961"
2535,1/22/2014,Demóstenes Ferreira da Silva Filho,Genética,,,Palmeira Imperial,Roystonea oleracea,,,2222,24,0,"alto risco de queda de folhas em pedestres, carros e fiacao.",,FALSE,FALSE,"4,800000191",0,0,0,0,"2,200000048",3,,,,,,FALSE,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Atual,Atual,Atual,Ausente,Atual,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9289,,9290,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,13,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,229453,7486295,"-22,70896949","-47,63368931"
2536,1/22/2014,Demóstenes Ferreira da Silva Filho,Genética,,,Palmeira Imperial,Roystonea oleracea,,,2211,24,0,"alto risco de queda de folhas em pedestres, carros e fiacao.",,FALSE,FALSE,4,0,0,0,0,"1,950000048","2,700000048",,,,,,FALSE,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Atual,Ausente,Ausente,Ausente,Atual,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9291,,9292,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,13,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,229450,7486292,"-22,70899608","-47,63371901"
2537,1/22/2014,Demóstenes Ferreira da Silva Filho,Genética,,,Palmeira Imperial,Roystonea oleracea,,,2217,23,0,"alto risco de queda de folhas em pedestres, carros e fiacao.",,FALSE,FALSE,"3,5",0,0,0,0,"1,899999976","2,5",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Atual,Ausente,Ausente,Ausente,Atual,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,FALSE,9293,,9294,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,13,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,229447,7486290,"-22,70901365","-47,63374854"
